"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Avg. Vehicles per Household","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"Census Tract","48019000101","TX","48019000101","=""48019000101""","2.1","2017-2021","2020","Census","Texas (State)"
"Census Tract","48019000103","TX","48019000103","=""48019000103""","2.1","2017-2021","2020","Census","Texas (State)"
"Census Tract","48019000104","TX","48019000104","=""48019000104""","N/A","2017-2021","2020","Census","Texas (State)"
"Census Tract","48019000200","TX","48019000200","=""48019000200""","2.0","2017-2021","2020","Census","Texas (State)"
"Census Tract","48019000301","TX","48019000301","=""48019000301""","2.4","2017-2021","2020","Census","Texas (State)"
"Census Tract","48019000302","TX","48019000302","=""48019000302""","2.3","2017-2021","2020","Census","Texas (State)"
"Census Tract","48019000400","TX","48019000400","=""48019000400""","2.1","2017-2021","2020","Census","Texas (State)"
"Census Tract","48021950101","TX","48021950101","=""48021950101""","2.2","2017-2021","2020","Census","Texas (State)"
"Census Tract","48021950102","TX","48021950102","=""48021950102""","2.2","2017-2021","2020","Census","Texas (State)"
"Census Tract","48021950201","TX","48021950201","=""48021950201""","2.2","2017-2021","2020","Census","Texas (State)"
"Census Tract","48021950202","TX","48021950202","=""48021950202""","2.0","2017-2021","2020","Census","Texas (State)"
"Census Tract","48021950301","TX","48021950301","=""48021950301""","2.3","2017-2021","2020","Census","Texas (State)"
"Census Tract","48021950302","TX","48021950302","=""48021950302""","1.8","2017-2021","2020","Census","Texas (State)"
"Census Tract","48021950303","TX","48021950303","=""48021950303""","2.4","2017-2021","2020","Census","Texas (State)"
"Census Tract","48021950401","TX","48021950401","=""48021950401""","1.9","2017-2021","2020","Census","Texas (State)"
"Census Tract","48021950402","TX","48021950402","=""48021950402""","2.3","2017-2021","2020","Census","Texas (State)"
"Census Tract","48021950403","TX","48021950403","=""48021950403""","2.5","2017-2021","2020","Census","Texas (State)"
"Census Tract","48021950503","TX","48021950503","=""48021950503""","2.1","2017-2021","2020","Census","Texas (State)"
"Census Tract","48021950504","TX","48021950504","=""48021950504""","2.3","2017-2021","2020","Census","Texas (State)"
"Census Tract","48021950505","TX","48021950505","=""48021950505""","2.1","2017-2021","2020","Census","Texas (State)"
"Census Tract","48021950506","TX","48021950506","=""48021950506""","2.3","2017-2021","2020","Census","Texas (State)"
"Census Tract","48021950601","TX","48021950601","=""48021950601""","2.2","2017-2021","2020","Census","Texas (State)"
"Census Tract","48021950602","TX","48021950602","=""48021950602""","2.3","2017-2021","2020","Census","Texas (State)"
"Census Tract","48021950700","TX","48021950700","=""48021950700""","1.9","2017-2021","2020","Census","Texas (State)"
"Census Tract","48021950803","TX","48021950803","=""48021950803""","3.0","2017-2021","2020","Census","Texas (State)"
"Census Tract","48021950804","TX","48021950804","=""48021950804""","2.2","2017-2021","2020","Census","Texas (State)"
"Census Tract","48021950805","TX","48021950805","=""48021950805""","N/A","2017-2021","2020","Census","Texas (State)"
"Census Tract","48021950806","TX","48021950806","=""48021950806""","2.2","2017-2021","2020","Census","Texas (State)"
"Census Tract","48023950301","TX","48023950301","=""48023950301""","1.8","2017-2021","2020","Census","Texas (State)"
"Census Tract","48023950302","TX","48023950302","=""48023950302""","1.9","2017-2021","2020","Census","Texas (State)"
"Census Tract","48025950100","TX","48025950100","=""48025950100""","1.8","2017-2021","2020","Census","Texas (State)"
"Census Tract","48025950201","TX","48025950201","=""48025950201""","1.8","2017-2021","2020","Census","Texas (State)"
"Census Tract","48025950203","TX","48025950203","=""48025950203""","2.2","2017-2021","2020","Census","Texas (State)"
"Census Tract","48025950204","TX","48025950204","=""48025950204""","2.1","2017-2021","2020","Census","Texas (State)"
"Census Tract","48025950300","TX","48025950300","=""48025950300""","1.8","2017-2021","2020","Census","Texas (State)"
"Census Tract","48025950400","TX","48025950400","=""48025950400""","1.5","2017-2021","2020","Census","Texas (State)"
"Census Tract","48025950501","TX","48025950501","=""48025950501""","1.7","2017-2021","2020","Census","Texas (State)"
"Census Tract","48025950502","TX","48025950502","=""48025950502""","1.3","2017-2021","2020","Census","Texas (State)"
"Census Tract","48025950600","TX","48025950600","=""48025950600""","2.0","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027020101","TX","48027020101","=""48027020101""","2.1","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027020102","TX","48027020102","=""48027020102""","2.2","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027020201","TX","48027020201","=""48027020201""","2.3","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027020203","TX","48027020203","=""48027020203""","2.0","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027020204","TX","48027020204","=""48027020204""","2.4","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027020301","TX","48027020301","=""48027020301""","1.9","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027020302","TX","48027020302","=""48027020302""","2.0","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027020401","TX","48027020401","=""48027020401""","1.6","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027020402","TX","48027020402","=""48027020402""","1.9","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027020500","TX","48027020500","=""48027020500""","2.0","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027020600","TX","48027020600","=""48027020600""","2.0","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027020701","TX","48027020701","=""48027020701""","0.8","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027020702","TX","48027020702","=""48027020702""","1.3","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027020800","TX","48027020800","=""48027020800""","1.3","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027020900","TX","48027020900","=""48027020900""","1.3","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027021000","TX","48027021000","=""48027021000""","1.3","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027021101","TX","48027021101","=""48027021101""","1.4","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027021102","TX","48027021102","=""48027021102""","1.6","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027021201","TX","48027021201","=""48027021201""","1.6","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027021202","TX","48027021202","=""48027021202""","1.6","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027021203","TX","48027021203","=""48027021203""","1.5","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027021301","TX","48027021301","=""48027021301""","1.7","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027021302","TX","48027021302","=""48027021302""","1.9","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027021304","TX","48027021304","=""48027021304""","1.4","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027021305","TX","48027021305","=""48027021305""","2.0","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027021400","TX","48027021400","=""48027021400""","2.2","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027021501","TX","48027021501","=""48027021501""","1.6","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027021502","TX","48027021502","=""48027021502""","2.3","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027021601","TX","48027021601","=""48027021601""","1.9","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027021602","TX","48027021602","=""48027021602""","1.5","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027021701","TX","48027021701","=""48027021701""","1.9","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027021702","TX","48027021702","=""48027021702""","1.5","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027021801","TX","48027021801","=""48027021801""","1.8","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027021802","TX","48027021802","=""48027021802""","2.2","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027021901","TX","48027021901","=""48027021901""","1.5","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027021905","TX","48027021905","=""48027021905""","1.9","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027021906","TX","48027021906","=""48027021906""","2.4","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027021907","TX","48027021907","=""48027021907""","1.9","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027021908","TX","48027021908","=""48027021908""","2.0","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027022001","TX","48027022001","=""48027022001""","1.4","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027022002","TX","48027022002","=""48027022002""","2.1","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027022101","TX","48027022101","=""48027022101""","1.5","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027022103","TX","48027022103","=""48027022103""","1.9","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027022104","TX","48027022104","=""48027022104""","1.5","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027022105","TX","48027022105","=""48027022105""","1.6","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027022200","TX","48027022200","=""48027022200""","1.4","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027022300","TX","48027022300","=""48027022300""","1.5","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027022401","TX","48027022401","=""48027022401""","1.9","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027022402","TX","48027022402","=""48027022402""","2.4","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027022403","TX","48027022403","=""48027022403""","2.0","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027022405","TX","48027022405","=""48027022405""","1.5","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027022406","TX","48027022406","=""48027022406""","2.1","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027022407","TX","48027022407","=""48027022407""","2.0","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027022501","TX","48027022501","=""48027022501""","1.6","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027022503","TX","48027022503","=""48027022503""","1.6","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027022504","TX","48027022504","=""48027022504""","2.3","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027022600","TX","48027022600","=""48027022600""","1.2","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027022801","TX","48027022801","=""48027022801""","1.3","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027022900","TX","48027022900","=""48027022900""","1.5","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027023001","TX","48027023001","=""48027023001""","2.0","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027023002","TX","48027023002","=""48027023002""","1.9","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027023103","TX","48027023103","=""48027023103""","1.7","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027023104","TX","48027023104","=""48027023104""","1.6","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027023109","TX","48027023109","=""48027023109""","2.0","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027023110","TX","48027023110","=""48027023110""","1.2","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027023111","TX","48027023111","=""48027023111""","1.9","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027023112","TX","48027023112","=""48027023112""","1.7","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027023113","TX","48027023113","=""48027023113""","1.6","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027023114","TX","48027023114","=""48027023114""","1.8","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027023115","TX","48027023115","=""48027023115""","2.0","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027023116","TX","48027023116","=""48027023116""","2.1","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027023117","TX","48027023117","=""48027023117""","2.1","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027023118","TX","48027023118","=""48027023118""","2.1","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027023201","TX","48027023201","=""48027023201""","1.8","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027023202","TX","48027023202","=""48027023202""","1.7","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027023203","TX","48027023203","=""48027023203""","1.6","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027023204","TX","48027023204","=""48027023204""","1.9","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027023301","TX","48027023301","=""48027023301""","2.5","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027023302","TX","48027023302","=""48027023302""","2.6","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027023402","TX","48027023402","=""48027023402""","2.3","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027023404","TX","48027023404","=""48027023404""","2.3","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027023405","TX","48027023405","=""48027023405""","2.1","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027023406","TX","48027023406","=""48027023406""","2.3","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027023500","TX","48027023500","=""48027023500""","1.4","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027980001","TX","48027980001","=""48027980001""","N/A","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027980002","TX","48027980002","=""48027980002""","N/A","2017-2021","2020","Census","Texas (State)"
"Census Tract","48027980003","TX","48027980003","=""48027980003""","N/A","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029110100","TX","48029110100","=""48029110100""","1.0","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029110300","TX","48029110300","=""48029110300""","1.3","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029110500","TX","48029110500","=""48029110500""","0.7","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029110600","TX","48029110600","=""48029110600""","0.8","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029110700","TX","48029110700","=""48029110700""","0.9","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029111000","TX","48029111000","=""48029111000""","1.4","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029111100","TX","48029111100","=""48029111100""","1.2","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029120100","TX","48029120100","=""48029120100""","N/A","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029120301","TX","48029120301","=""48029120301""","1.8","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029120302","TX","48029120302","=""48029120302""","1.9","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029120401","TX","48029120401","=""48029120401""","1.8","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029120402","TX","48029120402","=""48029120402""","2.7","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029120502","TX","48029120502","=""48029120502""","1.6","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029120503","TX","48029120503","=""48029120503""","1.4","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029120504","TX","48029120504","=""48029120504""","1.6","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029120601","TX","48029120601","=""48029120601""","1.2","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029120602","TX","48029120602","=""48029120602""","1.4","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029120701","TX","48029120701","=""48029120701""","1.4","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029120702","TX","48029120702","=""48029120702""","1.5","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029120800","TX","48029120800","=""48029120800""","1.9","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029120901","TX","48029120901","=""48029120901""","1.3","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029120902","TX","48029120902","=""48029120902""","1.4","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121000","TX","48029121000","=""48029121000""","1.9","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121110","TX","48029121110","=""48029121110""","2.0","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121111","TX","48029121111","=""48029121111""","2.0","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121112","TX","48029121112","=""48029121112""","1.5","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121115","TX","48029121115","=""48029121115""","1.9","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121116","TX","48029121116","=""48029121116""","1.7","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121117","TX","48029121117","=""48029121117""","1.7","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121118","TX","48029121118","=""48029121118""","1.9","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121119","TX","48029121119","=""48029121119""","1.9","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121120","TX","48029121120","=""48029121120""","2.0","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121121","TX","48029121121","=""48029121121""","2.2","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121122","TX","48029121122","=""48029121122""","2.1","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121123","TX","48029121123","=""48029121123""","1.6","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121124","TX","48029121124","=""48029121124""","2.1","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121203","TX","48029121203","=""48029121203""","1.6","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121204","TX","48029121204","=""48029121204""","1.1","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121205","TX","48029121205","=""48029121205""","1.6","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121206","TX","48029121206","=""48029121206""","2.0","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121300","TX","48029121300","=""48029121300""","1.8","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121402","TX","48029121402","=""48029121402""","2.1","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121403","TX","48029121403","=""48029121403""","1.5","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121404","TX","48029121404","=""48029121404""","1.2","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121501","TX","48029121501","=""48029121501""","2.0","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121504","TX","48029121504","=""48029121504""","2.0","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121505","TX","48029121505","=""48029121505""","1.9","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121506","TX","48029121506","=""48029121506""","1.9","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121507","TX","48029121507","=""48029121507""","1.9","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121508","TX","48029121508","=""48029121508""","1.8","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121601","TX","48029121601","=""48029121601""","1.6","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121604","TX","48029121604","=""48029121604""","2.0","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121605","TX","48029121605","=""48029121605""","1.9","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121606","TX","48029121606","=""48029121606""","1.7","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121701","TX","48029121701","=""48029121701""","1.9","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121702","TX","48029121702","=""48029121702""","1.8","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121802","TX","48029121802","=""48029121802""","2.2","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121803","TX","48029121803","=""48029121803""","1.9","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121804","TX","48029121804","=""48029121804""","1.6","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121808","TX","48029121808","=""48029121808""","2.0","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121809","TX","48029121809","=""48029121809""","2.0","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121810","TX","48029121810","=""48029121810""","2.1","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121811","TX","48029121811","=""48029121811""","1.7","2017-2021","2020","Census","Texas (State)"
"Census Tract","48029121812","TX","48029121812","=""48029121812""","2.1","2017-2021","2020","Census","Texas (State)"
