"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Percent Families Receiving Food Stamp/SNAP Benefits","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"Census Tract","17019010701","IL","17019010701","=""17019010701""","4.70","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019010702","IL","17019010702","=""17019010702""","1.62","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019010800","IL","17019010800","=""17019010800""","7.22","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019010901","IL","17019010901","=""17019010901""","5.36","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019010902","IL","17019010902","=""17019010902""","4.88","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019011001","IL","17019011001","=""17019011001""","0.00","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019011002","IL","17019011002","=""17019011002""","12.83","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019011100","IL","17019011100","=""17019011100""","0.00","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17021958100","IL","17021958100","=""17021958100""","6.02","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17021958200","IL","17021958200","=""17021958200""","10.04","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17021958300","IL","17021958300","=""17021958300""","22.77","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17021958400","IL","17021958400","=""17021958400""","14.51","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17021958500","IL","17021958500","=""17021958500""","21.54","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17021958600","IL","17021958600","=""17021958600""","5.91","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17021958700","IL","17021958700","=""17021958700""","8.70","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17021958800","IL","17021958800","=""17021958800""","13.13","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17021958900","IL","17021958900","=""17021958900""","31.04","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17021959000","IL","17021959000","=""17021959000""","4.94","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17023060100","IL","17023060100","=""17023060100""","2.03","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17023060200","IL","17023060200","=""17023060200""","15.59","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17023060300","IL","17023060300","=""17023060300""","16.76","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17023060400","IL","17023060400","=""17023060400""","6.86","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17025971900","IL","17025971900","=""17025971900""","16.49","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17025972000","IL","17025972000","=""17025972000""","17.69","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17025972100","IL","17025972100","=""17025972100""","11.79","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17025972200","IL","17025972200","=""17025972200""","11.02","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17027900100","IL","17027900100","=""17027900100""","2.91","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17027900200","IL","17027900200","=""17027900200""","8.54","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17027900300","IL","17027900300","=""17027900300""","7.61","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17027900401","IL","17027900401","=""17027900401""","3.41","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17027900403","IL","17027900403","=""17027900403""","15.31","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17027900404","IL","17027900404","=""17027900404""","10.74","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17027900500","IL","17027900500","=""17027900500""","17.43","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17027900601","IL","17027900601","=""17027900601""","0.79","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17027900602","IL","17027900602","=""17027900602""","11.85","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17029000100","IL","17029000100","=""17029000100""","8.97","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17029000200","IL","17029000200","=""17029000200""","15.17","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17029000300","IL","17029000300","=""17029000300""","18.73","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17029000400","IL","17029000400","=""17029000400""","30.45","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17029000500","IL","17029000500","=""17029000500""","34.89","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17029000600","IL","17029000600","=""17029000600""","9.02","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17029000701","IL","17029000701","=""17029000701""","6.18","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17029000702","IL","17029000702","=""17029000702""","29.60","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17029000800","IL","17029000800","=""17029000800""","37.85","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17029000900","IL","17029000900","=""17029000900""","3.17","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17029001000","IL","17029001000","=""17029001000""","32.07","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17029001100","IL","17029001100","=""17029001100""","32.45","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17029001200","IL","17029001200","=""17029001200""","10.39","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031010100","IL","17031010100","=""17031010100""","7.93","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031010201","IL","17031010201","=""17031010201""","30.34","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031010202","IL","17031010202","=""17031010202""","31.66","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031010300","IL","17031010300","=""17031010300""","5.34","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031010400","IL","17031010400","=""17031010400""","22.19","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031010501","IL","17031010501","=""17031010501""","4.33","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031010502","IL","17031010502","=""17031010502""","5.31","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031010503","IL","17031010503","=""17031010503""","12.38","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031010600","IL","17031010600","=""17031010600""","11.19","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031010701","IL","17031010701","=""17031010701""","11.96","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031010702","IL","17031010702","=""17031010702""","20.47","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031020100","IL","17031020100","=""17031020100""","12.87","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031020200","IL","17031020200","=""17031020200""","13.51","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031020301","IL","17031020301","=""17031020301""","8.23","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031020302","IL","17031020302","=""17031020302""","7.46","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031020400","IL","17031020400","=""17031020400""","7.37","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031020500","IL","17031020500","=""17031020500""","34.50","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031020601","IL","17031020601","=""17031020601""","32.30","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031020602","IL","17031020602","=""17031020602""","11.69","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031020701","IL","17031020701","=""17031020701""","14.35","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031020702","IL","17031020702","=""17031020702""","23.52","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031020801","IL","17031020801","=""17031020801""","18.93","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031020802","IL","17031020802","=""17031020802""","39.96","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031020901","IL","17031020901","=""17031020901""","38.04","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031020902","IL","17031020902","=""17031020902""","29.82","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031030101","IL","17031030101","=""17031030101""","13.33","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031030102","IL","17031030102","=""17031030102""","19.58","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031030103","IL","17031030103","=""17031030103""","0.00","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031030104","IL","17031030104","=""17031030104""","15.79","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031030200","IL","17031030200","=""17031030200""","0.87","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031030300","IL","17031030300","=""17031030300""","10.87","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031030400","IL","17031030400","=""17031030400""","17.95","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031030500","IL","17031030500","=""17031030500""","5.31","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031030601","IL","17031030601","=""17031030601""","25.89","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031030603","IL","17031030603","=""17031030603""","21.50","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031030604","IL","17031030604","=""17031030604""","12.36","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031030701","IL","17031030701","=""17031030701""","39.82","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031030702","IL","17031030702","=""17031030702""","10.40","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031030703","IL","17031030703","=""17031030703""","33.05","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031030706","IL","17031030706","=""17031030706""","1.30","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031030800","IL","17031030800","=""17031030800""","7.14","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031030900","IL","17031030900","=""17031030900""","2.28","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031031000","IL","17031031000","=""17031031000""","6.90","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031031100","IL","17031031100","=""17031031100""","7.08","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031031200","IL","17031031200","=""17031031200""","34.52","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031031300","IL","17031031300","=""17031031300""","6.95","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031031400","IL","17031031400","=""17031031400""","3.69","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031031501","IL","17031031501","=""17031031501""","37.81","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031031502","IL","17031031502","=""17031031502""","39.43","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031031700","IL","17031031700","=""17031031700""","8.30","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031031800","IL","17031031800","=""17031031800""","3.08","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031031900","IL","17031031900","=""17031031900""","4.86","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031032100","IL","17031032100","=""17031032100""","13.01","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031040100","IL","17031040100","=""17031040100""","0.00","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031040201","IL","17031040201","=""17031040201""","5.88","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031040202","IL","17031040202","=""17031040202""","21.28","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031040300","IL","17031040300","=""17031040300""","12.41","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031040401","IL","17031040401","=""17031040401""","1.18","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031040402","IL","17031040402","=""17031040402""","2.21","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031040600","IL","17031040600","=""17031040600""","8.70","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031040700","IL","17031040700","=""17031040700""","8.40","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031040800","IL","17031040800","=""17031040800""","2.04","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031040900","IL","17031040900","=""17031040900""","0.00","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031050100","IL","17031050100","=""17031050100""","2.60","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031050200","IL","17031050200","=""17031050200""","7.66","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031050300","IL","17031050300","=""17031050300""","4.13","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031050500","IL","17031050500","=""17031050500""","0.00","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031050600","IL","17031050600","=""17031050600""","4.56","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031050700","IL","17031050700","=""17031050700""","0.00","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031050800","IL","17031050800","=""17031050800""","7.81","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031050900","IL","17031050900","=""17031050900""","1.32","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031051000","IL","17031051000","=""17031051000""","0.00","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031051100","IL","17031051100","=""17031051100""","5.21","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031051200","IL","17031051200","=""17031051200""","0.00","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031051300","IL","17031051300","=""17031051300""","5.94","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031051400","IL","17031051400","=""17031051400""","7.42","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031060100","IL","17031060100","=""17031060100""","2.40","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031060200","IL","17031060200","=""17031060200""","9.82","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031060300","IL","17031060300","=""17031060300""","7.60","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031060400","IL","17031060400","=""17031060400""","0.00","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031060500","IL","17031060500","=""17031060500""","12.33","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031060800","IL","17031060800","=""17031060800""","0.00","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031060900","IL","17031060900","=""17031060900""","0.00","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031061000","IL","17031061000","=""17031061000""","12.88","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031061100","IL","17031061100","=""17031061100""","0.00","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031061200","IL","17031061200","=""17031061200""","0.00","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031061500","IL","17031061500","=""17031061500""","0.00","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031061800","IL","17031061800","=""17031061800""","0.00","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031061901","IL","17031061901","=""17031061901""","0.00","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031061902","IL","17031061902","=""17031061902""","2.29","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031062000","IL","17031062000","=""17031062000""","0.00","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031062100","IL","17031062100","=""17031062100""","0.00","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031062200","IL","17031062200","=""17031062200""","6.02","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031062300","IL","17031062300","=""17031062300""","0.00","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031062400","IL","17031062400","=""17031062400""","1.60","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031062500","IL","17031062500","=""17031062500""","2.16","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031062600","IL","17031062600","=""17031062600""","0.00","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031062700","IL","17031062700","=""17031062700""","4.05","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031062800","IL","17031062800","=""17031062800""","2.28","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031062900","IL","17031062900","=""17031062900""","1.15","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031063000","IL","17031063000","=""17031063000""","0.00","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031063100","IL","17031063100","=""17031063100""","0.00","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031063200","IL","17031063200","=""17031063200""","0.00","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031063301","IL","17031063301","=""17031063301""","16.09","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031063302","IL","17031063302","=""17031063302""","0.00","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031063303","IL","17031063303","=""17031063303""","0.00","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031063400","IL","17031063400","=""17031063400""","2.26","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031070101","IL","17031070101","=""17031070101""","8.84","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17031070102","IL","17031070102","=""17031070102""","0.00","2017-2021","2020","Census","Illinois (State)"
