"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Percent Families Receiving Food Stamp/SNAP Benefits","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"Census Tract","06001402400","CA","06001402400","=""06001402400""","14.48","2017-2021","2020","Census","California (State)"
"Census Tract","06001402500","CA","06001402500","=""06001402500""","42.34","2017-2021","2020","Census","California (State)"
"Census Tract","06001402600","CA","06001402600","=""06001402600""","26.52","2017-2021","2020","Census","California (State)"
"Census Tract","06001402700","CA","06001402700","=""06001402700""","19.20","2017-2021","2020","Census","California (State)"
"Census Tract","06001402801","CA","06001402801","=""06001402801""","8.98","2017-2021","2020","Census","California (State)"
"Census Tract","06001402802","CA","06001402802","=""06001402802""","0.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001402900","CA","06001402900","=""06001402900""","4.21","2017-2021","2020","Census","California (State)"
"Census Tract","06001403000","CA","06001403000","=""06001403000""","19.38","2017-2021","2020","Census","California (State)"
"Census Tract","06001403100","CA","06001403100","=""06001403100""","14.38","2017-2021","2020","Census","California (State)"
"Census Tract","06001403301","CA","06001403301","=""06001403301""","40.91","2017-2021","2020","Census","California (State)"
"Census Tract","06001403302","CA","06001403302","=""06001403302""","7.57","2017-2021","2020","Census","California (State)"
"Census Tract","06001403401","CA","06001403401","=""06001403401""","29.93","2017-2021","2020","Census","California (State)"
"Census Tract","06001403402","CA","06001403402","=""06001403402""","0.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001403501","CA","06001403501","=""06001403501""","13.63","2017-2021","2020","Census","California (State)"
"Census Tract","06001403502","CA","06001403502","=""06001403502""","1.98","2017-2021","2020","Census","California (State)"
"Census Tract","06001403600","CA","06001403600","=""06001403600""","10.27","2017-2021","2020","Census","California (State)"
"Census Tract","06001403701","CA","06001403701","=""06001403701""","8.39","2017-2021","2020","Census","California (State)"
"Census Tract","06001403702","CA","06001403702","=""06001403702""","0.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001403800","CA","06001403800","=""06001403800""","0.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001403900","CA","06001403900","=""06001403900""","4.39","2017-2021","2020","Census","California (State)"
"Census Tract","06001404000","CA","06001404000","=""06001404000""","5.82","2017-2021","2020","Census","California (State)"
"Census Tract","06001404101","CA","06001404101","=""06001404101""","0.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001404102","CA","06001404102","=""06001404102""","1.79","2017-2021","2020","Census","California (State)"
"Census Tract","06001404200","CA","06001404200","=""06001404200""","1.65","2017-2021","2020","Census","California (State)"
"Census Tract","06001404300","CA","06001404300","=""06001404300""","0.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001404400","CA","06001404400","=""06001404400""","0.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001404501","CA","06001404501","=""06001404501""","0.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001404502","CA","06001404502","=""06001404502""","0.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001404600","CA","06001404600","=""06001404600""","0.37","2017-2021","2020","Census","California (State)"
"Census Tract","06001404700","CA","06001404700","=""06001404700""","0.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001404800","CA","06001404800","=""06001404800""","6.76","2017-2021","2020","Census","California (State)"
"Census Tract","06001404900","CA","06001404900","=""06001404900""","3.21","2017-2021","2020","Census","California (State)"
"Census Tract","06001405000","CA","06001405000","=""06001405000""","0.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001405100","CA","06001405100","=""06001405100""","0.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001405200","CA","06001405200","=""06001405200""","0.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001405301","CA","06001405301","=""06001405301""","9.43","2017-2021","2020","Census","California (State)"
"Census Tract","06001405302","CA","06001405302","=""06001405302""","9.72","2017-2021","2020","Census","California (State)"
"Census Tract","06001405401","CA","06001405401","=""06001405401""","12.76","2017-2021","2020","Census","California (State)"
"Census Tract","06001405402","CA","06001405402","=""06001405402""","19.48","2017-2021","2020","Census","California (State)"
"Census Tract","06001405500","CA","06001405500","=""06001405500""","18.02","2017-2021","2020","Census","California (State)"
"Census Tract","06001405600","CA","06001405600","=""06001405600""","16.90","2017-2021","2020","Census","California (State)"
"Census Tract","06001405700","CA","06001405700","=""06001405700""","16.76","2017-2021","2020","Census","California (State)"
"Census Tract","06001405800","CA","06001405800","=""06001405800""","23.90","2017-2021","2020","Census","California (State)"
"Census Tract","06001405901","CA","06001405901","=""06001405901""","26.18","2017-2021","2020","Census","California (State)"
"Census Tract","06001405902","CA","06001405902","=""06001405902""","30.08","2017-2021","2020","Census","California (State)"
"Census Tract","06001406000","CA","06001406000","=""06001406000""","14.77","2017-2021","2020","Census","California (State)"
"Census Tract","06001406100","CA","06001406100","=""06001406100""","7.87","2017-2021","2020","Census","California (State)"
"Census Tract","06001406201","CA","06001406201","=""06001406201""","26.15","2017-2021","2020","Census","California (State)"
"Census Tract","06001406202","CA","06001406202","=""06001406202""","30.09","2017-2021","2020","Census","California (State)"
"Census Tract","06001406300","CA","06001406300","=""06001406300""","12.98","2017-2021","2020","Census","California (State)"
"Census Tract","06001406400","CA","06001406400","=""06001406400""","13.98","2017-2021","2020","Census","California (State)"
"Census Tract","06001406500","CA","06001406500","=""06001406500""","22.51","2017-2021","2020","Census","California (State)"
"Census Tract","06001406601","CA","06001406601","=""06001406601""","6.88","2017-2021","2020","Census","California (State)"
"Census Tract","06001406602","CA","06001406602","=""06001406602""","17.46","2017-2021","2020","Census","California (State)"
"Census Tract","06001406700","CA","06001406700","=""06001406700""","8.55","2017-2021","2020","Census","California (State)"
"Census Tract","06001406800","CA","06001406800","=""06001406800""","3.46","2017-2021","2020","Census","California (State)"
"Census Tract","06001406900","CA","06001406900","=""06001406900""","4.83","2017-2021","2020","Census","California (State)"
"Census Tract","06001407000","CA","06001407000","=""06001407000""","13.92","2017-2021","2020","Census","California (State)"
"Census Tract","06001407101","CA","06001407101","=""06001407101""","19.74","2017-2021","2020","Census","California (State)"
"Census Tract","06001407102","CA","06001407102","=""06001407102""","23.49","2017-2021","2020","Census","California (State)"
"Census Tract","06001407200","CA","06001407200","=""06001407200""","16.59","2017-2021","2020","Census","California (State)"
"Census Tract","06001407300","CA","06001407300","=""06001407300""","12.89","2017-2021","2020","Census","California (State)"
"Census Tract","06001407400","CA","06001407400","=""06001407400""","27.05","2017-2021","2020","Census","California (State)"
"Census Tract","06001407500","CA","06001407500","=""06001407500""","35.05","2017-2021","2020","Census","California (State)"
"Census Tract","06001407600","CA","06001407600","=""06001407600""","1.34","2017-2021","2020","Census","California (State)"
"Census Tract","06001407700","CA","06001407700","=""06001407700""","4.74","2017-2021","2020","Census","California (State)"
"Census Tract","06001407800","CA","06001407800","=""06001407800""","6.50","2017-2021","2020","Census","California (State)"
"Census Tract","06001407900","CA","06001407900","=""06001407900""","11.48","2017-2021","2020","Census","California (State)"
"Census Tract","06001408000","CA","06001408000","=""06001408000""","0.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001408100","CA","06001408100","=""06001408100""","0.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001408200","CA","06001408200","=""06001408200""","15.87","2017-2021","2020","Census","California (State)"
"Census Tract","06001408300","CA","06001408300","=""06001408300""","8.66","2017-2021","2020","Census","California (State)"
"Census Tract","06001408400","CA","06001408400","=""06001408400""","15.05","2017-2021","2020","Census","California (State)"
"Census Tract","06001408500","CA","06001408500","=""06001408500""","16.17","2017-2021","2020","Census","California (State)"
"Census Tract","06001408600","CA","06001408600","=""06001408600""","19.62","2017-2021","2020","Census","California (State)"
"Census Tract","06001408700","CA","06001408700","=""06001408700""","8.73","2017-2021","2020","Census","California (State)"
"Census Tract","06001408800","CA","06001408800","=""06001408800""","39.45","2017-2021","2020","Census","California (State)"
"Census Tract","06001408900","CA","06001408900","=""06001408900""","19.05","2017-2021","2020","Census","California (State)"
"Census Tract","06001409000","CA","06001409000","=""06001409000""","22.68","2017-2021","2020","Census","California (State)"
"Census Tract","06001409100","CA","06001409100","=""06001409100""","9.03","2017-2021","2020","Census","California (State)"
"Census Tract","06001409200","CA","06001409200","=""06001409200""","10.32","2017-2021","2020","Census","California (State)"
"Census Tract","06001409300","CA","06001409300","=""06001409300""","13.81","2017-2021","2020","Census","California (State)"
"Census Tract","06001409400","CA","06001409400","=""06001409400""","14.11","2017-2021","2020","Census","California (State)"
"Census Tract","06001409500","CA","06001409500","=""06001409500""","19.08","2017-2021","2020","Census","California (State)"
"Census Tract","06001409600","CA","06001409600","=""06001409600""","23.49","2017-2021","2020","Census","California (State)"
"Census Tract","06001409700","CA","06001409700","=""06001409700""","40.92","2017-2021","2020","Census","California (State)"
"Census Tract","06001409800","CA","06001409800","=""06001409800""","9.40","2017-2021","2020","Census","California (State)"
"Census Tract","06001409900","CA","06001409900","=""06001409900""","4.28","2017-2021","2020","Census","California (State)"
"Census Tract","06001410000","CA","06001410000","=""06001410000""","0.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001410100","CA","06001410100","=""06001410100""","14.80","2017-2021","2020","Census","California (State)"
"Census Tract","06001410200","CA","06001410200","=""06001410200""","19.23","2017-2021","2020","Census","California (State)"
"Census Tract","06001410300","CA","06001410300","=""06001410300""","19.27","2017-2021","2020","Census","California (State)"
"Census Tract","06001410400","CA","06001410400","=""06001410400""","2.75","2017-2021","2020","Census","California (State)"
"Census Tract","06001410500","CA","06001410500","=""06001410500""","45.85","2017-2021","2020","Census","California (State)"
"Census Tract","06001420100","CA","06001420100","=""06001420100""","0.41","2017-2021","2020","Census","California (State)"
"Census Tract","06001420200","CA","06001420200","=""06001420200""","0.71","2017-2021","2020","Census","California (State)"
"Census Tract","06001420301","CA","06001420301","=""06001420301""","5.84","2017-2021","2020","Census","California (State)"
"Census Tract","06001420302","CA","06001420302","=""06001420302""","4.96","2017-2021","2020","Census","California (State)"
"Census Tract","06001420401","CA","06001420401","=""06001420401""","15.77","2017-2021","2020","Census","California (State)"
"Census Tract","06001420402","CA","06001420402","=""06001420402""","13.66","2017-2021","2020","Census","California (State)"
"Census Tract","06001420500","CA","06001420500","=""06001420500""","2.38","2017-2021","2020","Census","California (State)"
"Census Tract","06001420600","CA","06001420600","=""06001420600""","1.89","2017-2021","2020","Census","California (State)"
"Census Tract","06001421100","CA","06001421100","=""06001421100""","0.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001421200","CA","06001421200","=""06001421200""","0.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001421300","CA","06001421300","=""06001421300""","0.77","2017-2021","2020","Census","California (State)"
"Census Tract","06001421400","CA","06001421400","=""06001421400""","3.70","2017-2021","2020","Census","California (State)"
"Census Tract","06001421500","CA","06001421500","=""06001421500""","0.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001421600","CA","06001421600","=""06001421600""","0.30","2017-2021","2020","Census","California (State)"
"Census Tract","06001421700","CA","06001421700","=""06001421700""","0.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001421800","CA","06001421800","=""06001421800""","0.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001421900","CA","06001421900","=""06001421900""","3.65","2017-2021","2020","Census","California (State)"
"Census Tract","06001422000","CA","06001422000","=""06001422000""","7.98","2017-2021","2020","Census","California (State)"
"Census Tract","06001422100","CA","06001422100","=""06001422100""","6.92","2017-2021","2020","Census","California (State)"
"Census Tract","06001422200","CA","06001422200","=""06001422200""","2.56","2017-2021","2020","Census","California (State)"
"Census Tract","06001422300","CA","06001422300","=""06001422300""","0.98","2017-2021","2020","Census","California (State)"
"Census Tract","06001422400","CA","06001422400","=""06001422400""","3.25","2017-2021","2020","Census","California (State)"
"Census Tract","06001422500","CA","06001422500","=""06001422500""","0.87","2017-2021","2020","Census","California (State)"
"Census Tract","06001422700","CA","06001422700","=""06001422700""","27.54","2017-2021","2020","Census","California (State)"
"Census Tract","06001422800","CA","06001422800","=""06001422800""","60.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001422901","CA","06001422901","=""06001422901""","4.51","2017-2021","2020","Census","California (State)"
"Census Tract","06001422902","CA","06001422902","=""06001422902""","41.07","2017-2021","2020","Census","California (State)"
"Census Tract","06001423000","CA","06001423000","=""06001423000""","0.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001423100","CA","06001423100","=""06001423100""","8.84","2017-2021","2020","Census","California (State)"
"Census Tract","06001423200","CA","06001423200","=""06001423200""","8.28","2017-2021","2020","Census","California (State)"
"Census Tract","06001423300","CA","06001423300","=""06001423300""","3.66","2017-2021","2020","Census","California (State)"
"Census Tract","06001423400","CA","06001423400","=""06001423400""","16.07","2017-2021","2020","Census","California (State)"
"Census Tract","06001423500","CA","06001423500","=""06001423500""","3.07","2017-2021","2020","Census","California (State)"
"Census Tract","06001423601","CA","06001423601","=""06001423601""","3.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001423602","CA","06001423602","=""06001423602""","21.08","2017-2021","2020","Census","California (State)"
"Census Tract","06001423700","CA","06001423700","=""06001423700""","0.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001423800","CA","06001423800","=""06001423800""","4.35","2017-2021","2020","Census","California (State)"
"Census Tract","06001423901","CA","06001423901","=""06001423901""","3.72","2017-2021","2020","Census","California (State)"
"Census Tract","06001423902","CA","06001423902","=""06001423902""","0.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001424001","CA","06001424001","=""06001424001""","8.11","2017-2021","2020","Census","California (State)"
"Census Tract","06001424002","CA","06001424002","=""06001424002""","13.82","2017-2021","2020","Census","California (State)"
"Census Tract","06001425101","CA","06001425101","=""06001425101""","0.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001425102","CA","06001425102","=""06001425102""","4.18","2017-2021","2020","Census","California (State)"
"Census Tract","06001425103","CA","06001425103","=""06001425103""","1.82","2017-2021","2020","Census","California (State)"
"Census Tract","06001425104","CA","06001425104","=""06001425104""","17.57","2017-2021","2020","Census","California (State)"
"Census Tract","06001426100","CA","06001426100","=""06001426100""","0.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001426200","CA","06001426200","=""06001426200""","2.19","2017-2021","2020","Census","California (State)"
"Census Tract","06001427100","CA","06001427100","=""06001427100""","1.11","2017-2021","2020","Census","California (State)"
"Census Tract","06001427200","CA","06001427200","=""06001427200""","16.52","2017-2021","2020","Census","California (State)"
"Census Tract","06001427300","CA","06001427300","=""06001427300""","3.38","2017-2021","2020","Census","California (State)"
"Census Tract","06001427600","CA","06001427600","=""06001427600""","22.76","2017-2021","2020","Census","California (State)"
"Census Tract","06001427700","CA","06001427700","=""06001427700""","8.67","2017-2021","2020","Census","California (State)"
"Census Tract","06001427800","CA","06001427800","=""06001427800""","5.56","2017-2021","2020","Census","California (State)"
"Census Tract","06001427900","CA","06001427900","=""06001427900""","1.10","2017-2021","2020","Census","California (State)"
"Census Tract","06001428000","CA","06001428000","=""06001428000""","14.07","2017-2021","2020","Census","California (State)"
"Census Tract","06001428100","CA","06001428100","=""06001428100""","5.25","2017-2021","2020","Census","California (State)"
"Census Tract","06001428200","CA","06001428200","=""06001428200""","4.09","2017-2021","2020","Census","California (State)"
"Census Tract","06001428301","CA","06001428301","=""06001428301""","1.51","2017-2021","2020","Census","California (State)"
"Census Tract","06001428302","CA","06001428302","=""06001428302""","0.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001428400","CA","06001428400","=""06001428400""","7.58","2017-2021","2020","Census","California (State)"
"Census Tract","06001428500","CA","06001428500","=""06001428500""","12.61","2017-2021","2020","Census","California (State)"
"Census Tract","06001428600","CA","06001428600","=""06001428600""","6.46","2017-2021","2020","Census","California (State)"
"Census Tract","06001428700","CA","06001428700","=""06001428700""","19.07","2017-2021","2020","Census","California (State)"
"Census Tract","06001430101","CA","06001430101","=""06001430101""","0.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001430102","CA","06001430102","=""06001430102""","0.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001430200","CA","06001430200","=""06001430200""","3.01","2017-2021","2020","Census","California (State)"
"Census Tract","06001430300","CA","06001430300","=""06001430300""","0.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001430400","CA","06001430400","=""06001430400""","0.93","2017-2021","2020","Census","California (State)"
"Census Tract","06001430500","CA","06001430500","=""06001430500""","5.99","2017-2021","2020","Census","California (State)"
"Census Tract","06001430600","CA","06001430600","=""06001430600""","3.52","2017-2021","2020","Census","California (State)"
"Census Tract","06001430700","CA","06001430700","=""06001430700""","5.04","2017-2021","2020","Census","California (State)"
"Census Tract","06001430800","CA","06001430800","=""06001430800""","3.90","2017-2021","2020","Census","California (State)"
"Census Tract","06001430900","CA","06001430900","=""06001430900""","22.94","2017-2021","2020","Census","California (State)"
"Census Tract","06001431000","CA","06001431000","=""06001431000""","5.97","2017-2021","2020","Census","California (State)"
"Census Tract","06001431100","CA","06001431100","=""06001431100""","11.91","2017-2021","2020","Census","California (State)"
"Census Tract","06001431200","CA","06001431200","=""06001431200""","1.11","2017-2021","2020","Census","California (State)"
"Census Tract","06001432100","CA","06001432100","=""06001432100""","4.77","2017-2021","2020","Census","California (State)"
"Census Tract","06001432200","CA","06001432200","=""06001432200""","1.01","2017-2021","2020","Census","California (State)"
"Census Tract","06001432300","CA","06001432300","=""06001432300""","10.26","2017-2021","2020","Census","California (State)"
"Census Tract","06001432400","CA","06001432400","=""06001432400""","6.40","2017-2021","2020","Census","California (State)"
"Census Tract","06001432501","CA","06001432501","=""06001432501""","20.55","2017-2021","2020","Census","California (State)"
"Census Tract","06001432502","CA","06001432502","=""06001432502""","9.50","2017-2021","2020","Census","California (State)"
"Census Tract","06001432601","CA","06001432601","=""06001432601""","8.87","2017-2021","2020","Census","California (State)"
"Census Tract","06001432602","CA","06001432602","=""06001432602""","5.82","2017-2021","2020","Census","California (State)"
"Census Tract","06001432700","CA","06001432700","=""06001432700""","6.66","2017-2021","2020","Census","California (State)"
"Census Tract","06001432800","CA","06001432800","=""06001432800""","5.72","2017-2021","2020","Census","California (State)"
"Census Tract","06001433000","CA","06001433000","=""06001433000""","7.03","2017-2021","2020","Census","California (State)"
"Census Tract","06001433102","CA","06001433102","=""06001433102""","5.41","2017-2021","2020","Census","California (State)"
"Census Tract","06001433103","CA","06001433103","=""06001433103""","13.48","2017-2021","2020","Census","California (State)"
"Census Tract","06001433104","CA","06001433104","=""06001433104""","23.94","2017-2021","2020","Census","California (State)"
"Census Tract","06001433200","CA","06001433200","=""06001433200""","13.72","2017-2021","2020","Census","California (State)"
"Census Tract","06001433300","CA","06001433300","=""06001433300""","7.19","2017-2021","2020","Census","California (State)"
"Census Tract","06001433400","CA","06001433400","=""06001433400""","6.50","2017-2021","2020","Census","California (State)"
"Census Tract","06001433500","CA","06001433500","=""06001433500""","7.91","2017-2021","2020","Census","California (State)"
"Census Tract","06001433600","CA","06001433600","=""06001433600""","12.75","2017-2021","2020","Census","California (State)"
"Census Tract","06001433700","CA","06001433700","=""06001433700""","20.52","2017-2021","2020","Census","California (State)"
"Census Tract","06001433801","CA","06001433801","=""06001433801""","24.36","2017-2021","2020","Census","California (State)"
"Census Tract","06001433802","CA","06001433802","=""06001433802""","4.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001433900","CA","06001433900","=""06001433900""","22.05","2017-2021","2020","Census","California (State)"
"Census Tract","06001434000","CA","06001434000","=""06001434000""","23.15","2017-2021","2020","Census","California (State)"
"Census Tract","06001435102","CA","06001435102","=""06001435102""","0.81","2017-2021","2020","Census","California (State)"
"Census Tract","06001435103","CA","06001435103","=""06001435103""","3.48","2017-2021","2020","Census","California (State)"
"Census Tract","06001435104","CA","06001435104","=""06001435104""","11.04","2017-2021","2020","Census","California (State)"
"Census Tract","06001435200","CA","06001435200","=""06001435200""","2.23","2017-2021","2020","Census","California (State)"
"Census Tract","06001435300","CA","06001435300","=""06001435300""","5.77","2017-2021","2020","Census","California (State)"
"Census Tract","06001435400","CA","06001435400","=""06001435400""","5.96","2017-2021","2020","Census","California (State)"
"Census Tract","06001435500","CA","06001435500","=""06001435500""","16.05","2017-2021","2020","Census","California (State)"
"Census Tract","06001435601","CA","06001435601","=""06001435601""","11.58","2017-2021","2020","Census","California (State)"
"Census Tract","06001435602","CA","06001435602","=""06001435602""","12.72","2017-2021","2020","Census","California (State)"
"Census Tract","06001435700","CA","06001435700","=""06001435700""","10.24","2017-2021","2020","Census","California (State)"
"Census Tract","06001435800","CA","06001435800","=""06001435800""","7.56","2017-2021","2020","Census","California (State)"
"Census Tract","06001435900","CA","06001435900","=""06001435900""","3.36","2017-2021","2020","Census","California (State)"
"Census Tract","06001436000","CA","06001436000","=""06001436000""","5.48","2017-2021","2020","Census","California (State)"
"Census Tract","06001436100","CA","06001436100","=""06001436100""","9.74","2017-2021","2020","Census","California (State)"
"Census Tract","06001436200","CA","06001436200","=""06001436200""","17.31","2017-2021","2020","Census","California (State)"
"Census Tract","06001436301","CA","06001436301","=""06001436301""","14.30","2017-2021","2020","Census","California (State)"
"Census Tract","06001436302","CA","06001436302","=""06001436302""","3.60","2017-2021","2020","Census","California (State)"
"Census Tract","06001436402","CA","06001436402","=""06001436402""","0.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001436403","CA","06001436403","=""06001436403""","12.18","2017-2021","2020","Census","California (State)"
"Census Tract","06001436404","CA","06001436404","=""06001436404""","0.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001436500","CA","06001436500","=""06001436500""","9.30","2017-2021","2020","Census","California (State)"
"Census Tract","06001436601","CA","06001436601","=""06001436601""","13.35","2017-2021","2020","Census","California (State)"
"Census Tract","06001436602","CA","06001436602","=""06001436602""","20.57","2017-2021","2020","Census","California (State)"
"Census Tract","06001436700","CA","06001436700","=""06001436700""","5.11","2017-2021","2020","Census","California (State)"
"Census Tract","06001436800","CA","06001436800","=""06001436800""","9.97","2017-2021","2020","Census","California (State)"
"Census Tract","06001436900","CA","06001436900","=""06001436900""","22.25","2017-2021","2020","Census","California (State)"
"Census Tract","06001437000","CA","06001437000","=""06001437000""","9.54","2017-2021","2020","Census","California (State)"
"Census Tract","06001437101","CA","06001437101","=""06001437101""","6.43","2017-2021","2020","Census","California (State)"
"Census Tract","06001437102","CA","06001437102","=""06001437102""","11.16","2017-2021","2020","Census","California (State)"
"Census Tract","06001437200","CA","06001437200","=""06001437200""","3.79","2017-2021","2020","Census","California (State)"
"Census Tract","06001437300","CA","06001437300","=""06001437300""","20.03","2017-2021","2020","Census","California (State)"
"Census Tract","06001437400","CA","06001437400","=""06001437400""","7.04","2017-2021","2020","Census","California (State)"
"Census Tract","06001437500","CA","06001437500","=""06001437500""","19.98","2017-2021","2020","Census","California (State)"
"Census Tract","06001437600","CA","06001437600","=""06001437600""","8.27","2017-2021","2020","Census","California (State)"
"Census Tract","06001437701","CA","06001437701","=""06001437701""","23.99","2017-2021","2020","Census","California (State)"
"Census Tract","06001437702","CA","06001437702","=""06001437702""","17.70","2017-2021","2020","Census","California (State)"
"Census Tract","06001437800","CA","06001437800","=""06001437800""","3.39","2017-2021","2020","Census","California (State)"
"Census Tract","06001437900","CA","06001437900","=""06001437900""","22.94","2017-2021","2020","Census","California (State)"
"Census Tract","06001438000","CA","06001438000","=""06001438000""","0.59","2017-2021","2020","Census","California (State)"
"Census Tract","06001438100","CA","06001438100","=""06001438100""","6.15","2017-2021","2020","Census","California (State)"
"Census Tract","06001438201","CA","06001438201","=""06001438201""","5.97","2017-2021","2020","Census","California (State)"
"Census Tract","06001438203","CA","06001438203","=""06001438203""","4.77","2017-2021","2020","Census","California (State)"
"Census Tract","06001438204","CA","06001438204","=""06001438204""","12.20","2017-2021","2020","Census","California (State)"
"Census Tract","06001438300","CA","06001438300","=""06001438300""","6.53","2017-2021","2020","Census","California (State)"
"Census Tract","06001438400","CA","06001438400","=""06001438400""","4.24","2017-2021","2020","Census","California (State)"
"Census Tract","06001440100","CA","06001440100","=""06001440100""","2.24","2017-2021","2020","Census","California (State)"
"Census Tract","06001440200","CA","06001440200","=""06001440200""","8.04","2017-2021","2020","Census","California (State)"
"Census Tract","06001440301","CA","06001440301","=""06001440301""","15.41","2017-2021","2020","Census","California (State)"
"Census Tract","06001440304","CA","06001440304","=""06001440304""","6.33","2017-2021","2020","Census","California (State)"
"Census Tract","06001440305","CA","06001440305","=""06001440305""","5.10","2017-2021","2020","Census","California (State)"
"Census Tract","06001440306","CA","06001440306","=""06001440306""","13.48","2017-2021","2020","Census","California (State)"
"Census Tract","06001440307","CA","06001440307","=""06001440307""","6.87","2017-2021","2020","Census","California (State)"
"Census Tract","06001440308","CA","06001440308","=""06001440308""","3.49","2017-2021","2020","Census","California (State)"
"Census Tract","06001440331","CA","06001440331","=""06001440331""","4.33","2017-2021","2020","Census","California (State)"
"Census Tract","06001440332","CA","06001440332","=""06001440332""","1.18","2017-2021","2020","Census","California (State)"
"Census Tract","06001440333","CA","06001440333","=""06001440333""","1.52","2017-2021","2020","Census","California (State)"
"Census Tract","06001440334","CA","06001440334","=""06001440334""","9.51","2017-2021","2020","Census","California (State)"
"Census Tract","06001440336","CA","06001440336","=""06001440336""","6.49","2017-2021","2020","Census","California (State)"
"Census Tract","06001440337","CA","06001440337","=""06001440337""","5.36","2017-2021","2020","Census","California (State)"
"Census Tract","06001440338","CA","06001440338","=""06001440338""","0.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001441100","CA","06001441100","=""06001441100""","5.36","2017-2021","2020","Census","California (State)"
"Census Tract","06001441200","CA","06001441200","=""06001441200""","1.68","2017-2021","2020","Census","California (State)"
